"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"6AM City Inc",,https://6amcity.com,"Ryan Johnston, Ryan Heafy",Yes,Greenville,SC,"United States",English,,LLC,"For Profit",2016,"21 or more",31-40,21-30,11-20,21-30,"News aggregation, Newsletters, Originally-reported articles",,"Email, Social media, Website",,"City/Town, County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings",,"Events in coverage area, Food, Lifestyle, Local News, Planning & Development",,"Communities with English as a second language, Ethnic communities, People of color, Immigrant communities, LGBTQI communities, Low-income communities",,"Direct sold advertising, e-Commerce",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), e-Commerce, Classifieds, Content Sponsorship, Display, Email",,"6AM City was designed to drive local economic impact in the cities we serve. Due to our success in this area we are actively being recruited to launch divisions of our company across the country.","6AM is redefining the future of local media as the fastest growing newsletter-first local media company in the country, delivering the most relevant need-to-know local news and events. We aim to build communities driven by conversation, designed to educate and activate the cities we call home.
Markets: Greenville, SC (GVLtoday); Columbia, SC (COLAtoday); Charleston, SC (CHStoday); Asheville, NC (AVLtoday); Raleigh, NC (RALtoday); Chattanooga,TN (NOOGAtoday); Nashville, TN (NASHtoday) and Lakeland, FL (LALtoday)."
"Advocate Media - Dallas","Advocate Media - Dallas",https://advocatemag.com,"Rick Wamre",No,Dallas,TX,"United States",English,,"For Profit","Not for Profit",1991,16-20,31-40,31-40,0-10,0-10,"Digital marketing services, Newsletters, Originally-reported articles, Printed media, Social media-only content, Video",,"Social media, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Entertainment & Arts, Events in coverage area, Food",,"People of color, Low-income communities",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Display",,"We are the main neighborhood news source for many of our readers who don't have time to become involved with their neighbors. Our goal is to give our readers a sense that they are part of the neighborhood, even if they don't have as much time as they would like to be ""good neighbors"".",
Atlantafi.com,,https://atlantafi.com,"CJ Johnson",No,Atlanta,GA,"United States",English,,LLC,LLC,2018,3-5,11-20,61-70,0-10,0-10,"Digital marketing services, Newsletters, Originally-reported articles, Video",,"Social media, Website",,City/Town,"Hyperlocal community comings and goings",,"Business, Entertainment & Arts, Sports & Recreation",,"People of color",,"Direct sold advertising",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,,"There is a void in the marketplace for highly curated and relevant local information. There are tons of things to do and experiences to share here in Atlanta. But nobody can cut through the noise.
AtlantaFi is here to offer you curated short list of the coolest spots."
AustinTalks,,http://austintalks.org/,"Suzanne McBride",No,Chicago,IL,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2010,0,81-90,11-20,0-10,0-10,"Originally-reported articles",,"Print, Website",,Neighborhood(s),"Hyperlocal community comings and goings",,"Education & Schools, Events in coverage area, Government, Race & Ethnicity, Social Justice & Inequality",,"People of color, Low-income communities",,"Small individual gifts",,,"Syndicated Content",,,,"I don’t sell any advertising products.",,,"The Austin community, home to nearly 100,000 people, is rich in diversity, culture and life. AustinTalks - a project of Columbia College Chicago’s Communication Department - seeks to reflect this richness and provide the residents of Chicago’s most-populated neighborhood with news and information not available anywhere else."
BenitoLink,,https://benitolink.com,"Non Profit",No,Hollister,CA,"United States",English,,"Under umbrella of a 501c(3)","Nonprofit 501c(3) or Canadian nonprofit",2012,3-5,41-50,31-40,0-10,11-20,"Events, Newsletters, Originally-reported articles, Printed media, Video",,"Social media, Website",,"County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news","Community contributors","Corruption, Education & Schools, Government, Health & Medicine, Transportation",,"Communities with English as a second language, Ethnic communities, People of color, Immigrant communities, LGBTQI communities, Low-income communities","Rural, Seniors","Direct sold advertising, Foundation funding, Major individual gifts, Other forms of corporate sponsorship, Senior Health coverage underwriter, Small individual gifts",,,"Foundation funding",,,,Display,,"We inform voters through nonpartisan election forums and are a primary source of news and info for county which is potentially lifesaving during emergencies like COVID-19. We are the only entity reporting-in person on local government. We run the community ""town plaza"" where citizens can share ideas in a civil and respectful way.","BenitoLink is a nonprofit news website serving the residents of San Benito County.
Mission: BenitoLink connects San Benito County residents through local news and information, encouraging public dialogue to foster an engaged community.
Vision: BenitoLink is the trusted source for news and information about San Benito County.  As a community supported organization, BenitoLink is the voice for all county residents."
"Bethesda Beat",,https://bethesdamagazine.com/bethesda-beat,"Steve Hull",No,Bethesda,MD,"United States",English,,"S Corp","S Corp",2016,6-10,41-50,11-20,11-20,0-10,"Events, Newsletters, Originally-reported articles",,"Social media, Third party content platforms, Website",,"County/Counties/Regional districts","Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Crime & Justice, Education & Schools, Government, Planning & Development, Politics",,"Communities with English as a second language, Ethnic communities, Immigrant communities, Low-income communities, People of color",,"Direct sold advertising, Reader membership",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display",,"Bethesda Beat is the only independent news outlet that is devoted to covering Montgomery County, Maryland, which has a population 1.1 million people. I believe our coverage plays a critical role in keeping people informed and engaged, and in keeping government officials accountable.","Bethesda Magazine is the magazine for people living in Bethesda and the surrounding towns. Lively, entertaining and informative, Bethesda Magazine covers the topics that are interesting and important to Bethesda-area residents, including restaurants, real estate, home design and décor, community issues (e.g., schools, traffic, development), arts and entertainment, and people. Bethesda Magazine is published six times a year and is available in print and as a digital edition."
"BK Reader",,https://bkreader.com,"Clara Zawadi Morris",No,"New York",NY,"United States",English,,LLC,LLC,2013,2,61-70,0-10,0-10,11-20,"Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Corruption, Crime & Justice, Education & Schools, Entertainment & Arts, Environment, Events in coverage area, Food, Gender Identity, Government, Health & Medicine, Immigration, Politics, Race & Ethnicity, Social Justice & Inequality, Transportation",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,,,"Content Sponsorship, Display",,"We have provided coverage in fast-developing borough-- Brooklyn-- in neighborhoods that have been news deserts, traditionally underreported, poorly reported or not reported.","BK Reader is a hyperlocal digital daily news source reporting the art, culture, business and lifestyle of Brooklyn’s fastest-developing areas, including the neighborhoods of Bedford-Stuyvesant, Crown Heights, Fort Greene, Clinton Hill, Brownsville, East New York, Prospect Heights, Flatbush and Bushwick."
"Block Club Chicago",,https://Blockclubchicago.org,"Stephanie Lulay, Shamus Toomey, Jen Sabella",Yes,Chicago,IL,"United States",English,,"Under umbrella of a 501c(3)","Nonprofit 501c(3) or Canadian nonprofit",2018,11-15,61-70,11-20,0-10,11-20,"Newsletters, Originally-reported articles",,"Social media, Website",,Neighborhood(s),"Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Business, Environment, Planning & Development, Social Justice & Inequality, Transportation",,"People of color",,"Foundation funding, Philanthropic funding from major institutions, Reader subscriptions, Small individual gifts",,,"Reader subscriptions",,"Hybrid model (some free content, separate premium tier)",,Email,,,"Block Club Chicago is a nonprofit news organization dedicated to delivering reliable, nonpartisan and essential coverage of Chicago’s diverse neighborhoods."
"Boston Institute for Nonprofit Journalism",,https://www.binjonline.org,,Yes,Boston,MA,"United States",English,,"Under umbrella of a 501c(3)","Nonprofit 501c(3) or Canadian nonprofit",2015,3-5,,,,,"Branded Merchandise, Events, Newsletters, Originally-reported articles, Printed media, Video",,"Email, Events, Print, Social media, Syndicated feed or content partnerships, Television, Third party content platforms, Website",,"City/Town, County/Counties/Regional districts, State/Province","Curation and commentary, In-depth feature and explanatory reporting, Investigative news",,"Entertainment & Arts, Health & Medicine, Local News, Politics, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, People of color",,,,,,,,,,,"Over the years, BINJ has published dozens of significant investigative news articles on major underreported issues—and hundreds of articles overall—and distributed them to multiple independent news organizations around Massachusetts and nationwide. But the longer-term expansion of its core mission came with the founding of the Somerville News Garden project in 2019 in response to the rolling collapse of the local news industry. BINJ's mission was further expanded by its legislative work on a key bill aimed at getting a journalism commission established by the state legislature.","The Boston Institute for Nonprofit Journalism supports the development and production of independent news. BINJ achieves its mission by: providing organizational support to community publications; running reporting collaborations and civic engagement initiatives; training promising journalists; and producing bold independent journalism. Best known for its investigative reporting, BINJ launched the Somerville News Garden project in 2019 to experiment with creating a replicable volunteer-driven model that municipalities can use to reverse their slide toward becoming news deserts."
"Bowie Sun, The",,https://bowiesun.com,"The Bowie Sun",Yes,Bowie,MD,"United States",English,,"For Profit","For Profit",2021,,,,,,"Newsletters, Printed media",,"Email, Social media, Third party content platforms, Website",,City/Town,"Hyperlocal community comings and goings",,"Government, Local News, Local Profiles",,"Communities with English as a second language, Ethnic communities, People of color",,"Direct sold advertising",,,,,"I don't have a paywall",,"Display, Email",,,"Covering community news and events in Bowie, Maryland, just outside the nation's capital."
