"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"Advocate Media - Dallas","Advocate Media - Dallas",https://advocatemag.com,"Rick Wamre",No,Dallas,TX,"United States",English,,"For Profit","Not for Profit",1991,16-20,31-40,31-40,0-10,0-10,"Digital marketing services, Newsletters, Originally-reported articles, Printed media, Social media-only content, Video",,"Social media, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Entertainment & Arts, Events in coverage area, Food",,"People of color, Low-income communities",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Display",,"We are the main neighborhood news source for many of our readers who don't have time to become involved with their neighbors. Our goal is to give our readers a sense that they are part of the neighborhood, even if they don't have as much time as they would like to be ""good neighbors"".",
Aroundptown.com,,https://aroundptown.com,"Dan Eyrich",No,"Prophetstown, Erie, Lyndon & Tampico",IL,"United States",English,,LLC,LLC,1995,1,0-10,21-30,41-50,0-10,"Originally-reported articles, Video, Social media-only content",,"Website, Social media",,City/Town,"Hyperlocal community comings and goings",,"Education & Schools, Events in coverage area, Government, Sports & Recreation",,,,"Direct sold advertising, Small individual gifts",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship",,"Since the inception of my site I have received dozens of accolades from the communities I serve. The main town I serve had a weekly printed newspaper that had been declining in content and readership for many years. I have not only filled that void but have brought a product that is immediate, interactive, and provides multimedia content.","After beginning to cover local activities on Facebook, I decided to move my endeavor to the web and make it a full-time job.
My goal is to serve the local area with most accurate information available allowing citizens to be well informed on issues that affect them."
"Auburn Examiner",,https://auburnexaminer.com/,,Yes,Auburn,WA,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2017,1,,,,,"News aggregation, Newsletters, Originally-reported articles, Social media-only content",,"Email, Social media, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Breaking News, Curation and commentary, Hyperlocal community comings and goings",,"Crime & Justice, Education & Schools, Entertainment & Arts, Government, Local News",,,,,,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display, Email, Social Media",,"The Auburn Examiner's reporting, especially during the pandemic, has helped keep our community informed on important updates, information, and news. We use social media to provide breaking news updates (i.e. road closures, fires, and flood warnings), and to provide much-needed levity in a sometimes gloomy world. Our outlet has shared personal stories from our team and community members to raise awareness about important issues such as mental health, racial injustice, and pregnancy loss.
 ","The Auburn Examiner is a local independent news outlet focused on educating, raising awareness, and empowering through the stories of Auburn, Washington."
"BK Reader",,https://bkreader.com,"Clara Zawadi Morris",No,"New York",NY,"United States",English,,LLC,LLC,2013,2,61-70,0-10,0-10,11-20,"Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Corruption, Crime & Justice, Education & Schools, Entertainment & Arts, Environment, Events in coverage area, Food, Gender Identity, Government, Health & Medicine, Immigration, Politics, Race & Ethnicity, Social Justice & Inequality, Transportation",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,,,"Content Sponsorship, Display",,"We have provided coverage in fast-developing borough-- Brooklyn-- in neighborhoods that have been news deserts, traditionally underreported, poorly reported or not reported.","BK Reader is a hyperlocal digital daily news source reporting the art, culture, business and lifestyle of Brooklyn’s fastest-developing areas, including the neighborhoods of Bedford-Stuyvesant, Crown Heights, Fort Greene, Clinton Hill, Brownsville, East New York, Prospect Heights, Flatbush and Bushwick."
Bridge,,https://bridgemi.com,,No,"Ann Arbor",MI,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2011,"21 or more",51-60,11-20,0-10,0-10,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Events",,"Website, Social media, Third party content platforms, Syndicated feed or content partnerships",,State/Province,"Investigative news, Curation and commentary, In-depth feature and explanatory reporting",,"Business, Education & Schools, Environment, Government, Health & Medicine, Politics, Race & Ethnicity, Public Policy",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Reader membership, Foundation funding, Major individual gifts, Philanthropic funding from major institutions",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,"Content Sponsorship",,,"Bridge Magazine is a nonprofit, nonpartisan news organization that provides passionate and rooted Michigan readers with honest, fact-driven journalism on the state’s diverse people, politics, and economy. We serve as your watchdog on the biggest issues impacting your daily life, giving you insightful coverage you can’t get anywhere else."
"Bushwick Daily",,https://bushwickdaily.com,"Alec Meeker",No,"New York",NY,"United States",English,,LLC,LLC,2009,1,41-50,31-40,21-30,21-30,"Digital marketing services, Events, Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Entertainment & Arts, Events in coverage area, Food, Government, Immigration, Politics, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising, Other forms of corporate sponsorship, Reader membership",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Display",,"A couple examples of Bushwick Daily original reporting that is representative of the work we do. In 2019, National Grid Gas Company started refusing to hook up gas lines for multiple small businesses in North Brooklyn due to a legislative loophole. Bushwick Daily broke the story with an article covering the gas shut-off and featuring several local business owners unable to operate because of the shutdown. The original reporting published by Bushwick Daily was seen by local city officials, larger publications and other local business owners allowing them to put pressure on the gas company to provide service to the businesses which they eventually did. Last year there was a spike in ICE raids in our coverage area. We covered the raids and published news-to-use stories on how to protect yourself if ICE shows up at your door, along with info on the ongoing raids and how our local elected officials were responding to the activity. Bushwick Daily also covers positive community news on black and POC businesses. An example of this is Ethel’s Club, the first exclusively POC private membership and workspace club to open in Brooklyn. Bushwick Daily published an exclusive interview with the owner and information on how the community could support the organization and get involved.","Bushwick Daily is an independent media company based in New York City that launched in 2009 to focus on community issues, events, food, art, and culture in the Brooklyn neighborhood of Bushwick.
The publication is a progressive local resource for the thriving communities of Bushwick, Ridgewood, and East Williamsburg. Five days a week, Bushwick Daily publishes articles from a diverse team of local contributors about neighborhood events and hyperlocal news."
"Charlottesville Tomorrow",,https://cvilletomorrow.org,Nonprofit,No,Charlottesville,VA,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2005,6-10,21-30,11-20,0-10,11-20,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Events",,"Website, Social media, Email",,"City/Town, County/Counties/Regional districts","Single-subject news, In-depth feature and explanatory reporting",,"Education & Schools, Environment, Government, Planning & Development, Politics, Social Justice & Inequality, Transportation",,"LGBTQI communities, Low-income communities, People of color",,"Foundation funding, Small individual gifts, Major individual gifts",,,"Major individual gifts",,"I don't have a paywall",,,,,"Founded in 2005, Charlottesville Tomorrow is a hyperlocal journalism nonprofit with a mission to expand civic engagement and foster a vibrant, inclusive, and interdependent community. Supported entirely by contributions from readers, grants from foundations and philanthropists and the Knight Foundation’s NewsMatch fund, Charlottesville Tomorrow delivers in-depth reporting and analysis on local issues with the goal of improving local decision-making."
"Chicago Public Square",,https://ChicagoPublicSquare.com,"Charles Meyerson",No,Chicago,IL,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2017,0,61-70,0-10,0-10,0-10,"Digital marketing services, Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Email, Social media, Website",,"City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings",,"Corruption, Environment, Government, Politics",,"LGBTQI communities, Low-income communities, People of color",,"Small individual gifts",,,"Small individual gifts",,"I don't have a paywall",,Display,,"Industry-leading open (50%+) and click rates demonstrate Square's compelling engagement strategies.","Mission
To bring you news and links of interest and importance to the Chicago area—without wasting your time."
"Clutch MOV",,https://clutchmov.com,"Sarah Arnold",No,Marietta,OH,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2013,0,21-30,21-30,21-30,31-40,"Branded Merchandise, Digital marketing services, Events, Newsletters, Originally-reported articles, Printed media, Social media-only content",,"Social media, Website",e-Commerce,"County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Entertainment & Arts, Events in coverage area, Food, Lifestyle, Planning & Development",,,,"Direct sold advertising, e-Commerce",,,"Direct sold advertising",,,,"Display, Social Media",,"We provide quality coverage of an underserved, often neglected area. Southeast Ohio and the Mid-Ohio Valley region of West Virginia is often ignored or isolated. It's a converative, aging region with little growth. As such, many residents - particularly young professionals - do not think of this region as one of opportunity. Since launching our publication, we've found (through interviews and surveys) that our content has contributed directly to an increase in community pride. Anecdotally, we've heard from residents who chose to visit, move to, or start a business in our region because our content has given them a more positive perception on our region. Our mission is to show residents that there is a lot of opportunity here in the MOV and that the MOV is just as deserving of good things. In doing so, we hope to contribute to things like - increased student retetion at local colleges, increased business occupancy in our downtowns, increased retention of young professionals, and increased investment in our communities. While we do not have hard data to support these impacts, we have relationships with community leaders who believe we are a contributing factor to all of the above. That is why we do what we do.","Clutch MOV is a free, online publication that delivers creative coverage of the Mid-Ohio Valley’s rich culture and local flavor through the eyes of young professionals. We exist to bring light to our communities’ hidden gems, offer a fresh perspective on old favorites, uplift local people, places, and events, and publish positive, current content each week for our readers."
"Coachella Valley Independent",,https://CVIndependent.com,"Jimmy Boegle",No,"Cathedral City",CA,"United States",English,,LLC,LLC,2012,2,51-60,11-20,11-20,11-20,"Events, Newsletters, Originally-reported articles, Printed media, Social media-only content",,"Print, Social media, Website",,"City/Town, County/Counties/Regional districts","In-depth feature and explanatory reporting",,"Entertainment & Arts, Events in coverage area, Food, Politics, Social Justice & Inequality",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Display",,"We have a lot of impact, in a lot of ways--from boosting local theater companies with honest reviews, to covering two California Innocence Project inmates who were later freed.","The Coachella Valley Independent is the valley's source of independent news, arts coverage, commentary and culture. 
We believe in true, honest journalism: We want to afflict the comfortable, and comfort the afflicted. We want to be a mirror for the entire Coachella Valley. We want to inform, enlighten and entertain."
"Columbus Underground",,https://columbusunderground.com,"Walker Evans, Anne Evans",Yes,Columbus,OH,"United States",English,,"Sole Proprietor/no specific tax status","S Corp",2001,6-10,31-40,31-40,0-10,11-20,"Branded Merchandise, Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Owned and operated mobile app(s), Radio, Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Entertainment & Arts, Food, Government, Planning & Development, Transportation",,,,"Direct sold advertising, Events",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Display, Email, Podcast Sponsorship, Social Media, Video",,"We have brought wide-range awareness to many topics that go underreported in our community. We highlight small businesses, minority groups, nonprofits, artists and artisans.","Columbus Underground is an award-winning, online news publication based in Columbus, Ohio.
We are a hyper-local, community-driven, new media enterprise that creates unique exclusive content, and provides connections to our community. We tell the stories of Columbus by showcasing the best reasons why it is great to live here and why you should build your life here."
"Concord Clayton Pioneer",,https://pioneerpublishers.com,"Tamara Steiner",No,Clayton,CA,"United States",English,,"S Corp","S Corp",2003,3-5,11-20,21-30,41-50,0-10,"Originally-reported articles, Printed media, Social media-only content, Digital marketing services",,"Website, Social media, Print",,"Neighborhood(s), City/Town","Single-subject news, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Education & Schools, Entertainment & Arts, Events in coverage area, Government, Sports & Recreation",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,"We are the only local news paper serving the area. Our impact is strong in education, information, community building","The Pioneer is a true community newspaper with local writers, advertisers and long-time local publishers."
"Covering Katy News",https://www.coveringkaty.com/fort_bend/,https://coveringkaty.com,"Dennis Spellman",Yes,Katy,TX,"United States",English,,"Sole Proprietor/no specific tax status",LLC,2011,1,41-50,11-20,21-30,11-20,"Originally-reported articles, Video, Newsletters, Social media-only content, Digital marketing services",,"Website, Social media, Third party content platforms, Syndicated feed or content partnerships",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","Hyperlocal community comings and goings",,"Business, Crime & Justice, Education & Schools, Government, Politics",,,,"Direct sold advertising, Programmatic advertising, Reader subscriptions",,,"Direct sold advertising",,"Static meter (e.g., five free articles per month)",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,"We've had a huge impact by reporting important issues that other local media would ignore. We live in a community that was primarily populated by magazines that only provided light news and a very ""chamber of commerce"" look at the community. We came in and reported on crime and other issues like gangs attacking teachers, and a school district that secretly spent about $75 million on a football stadium when voters approved far less for the project.","Katy's Online Daily News"
Crosscut,"Cascade Public Media",https://Crosscut.com,"Cascade Public Media",No,Seattle,WA,"United States",English,,,"Nonprofit 501c(3) or Canadian nonprofit",2007,"21 or more",0-10,0-10,0-10,0-10,"Digital marketing services, Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Owned and operated mobile app(s), Radio, Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","In-depth feature and explanatory reporting",,"Environment, Planning & Development, Politics, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Major individual gifts, Philanthropic funding from major institutions, Reader membership, Small individual gifts",,,"Major individual gifts",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,"You can read about us here: https://crosscut.com/about","At Crosscut, we believe that an informed public is essential to solving the challenges of our time. As the Pacific Northwest’s independent, reader-supported, nonprofit news site, Crosscut strives to provide readers with the facts and analysis they need to intelligently participate in civic discourse, and to create a more just, equitable and sustainable society."
Crosstown,,https://xtown.la,"USC Annenberg",No,"Los Angeles",CA,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2018,0,41-50,0-10,41-50,0-10,"Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts",,,"Crime & Justice, Education & Schools, Environment, Government, Transportation",,"Ethnic communities, LGBTQI communities, Low-income communities, People of color",,"Foundation funding",,,"Foundation funding",,,,"I don’t sell any advertising products.",,"We can drive the news cycle around core quality-of-life issues, like dangerous intersections, air quality, traffic congestion, and so forth, because we are the only ones with the quantifiable data on this.","Crosstown seeks to deliver community-level data and analyses to the people of Los Angeles who want to make their neighborhoods and city safer, healthier and more connected."
CTNewsJunkie.com,,https://ctnewsjunkie.com,"Christine Stuart and Doug Hardy",No,Hartford,CT,"United States",English,,LLC,LLC,2005,2,0-10,0-10,0-10,0-10,"Digital marketing services, Events, Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,State/Province,"Curation and commentary, In-depth feature and explanatory reporting, Investigative news",,"Business, Corruption, Crime & Justice, Education & Schools, Energy, Environment, Government, Health & Medicine, Immigration, Planning & Development, Politics, Race & Ethnicity, Social Justice & Inequality, Transportation",,"Low-income communities, People of color",,"Direct sold advertising, Other forms of corporate sponsorship",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Display",,"CTNewsJunkie was the first digital-only news organization to arrive at the state Capitol in Hartford. We forced legacy news organizations to start producing news stories at the increased pace of digital to keep up with us, and our reporting has provided people with a window on the inner workings of all three branches of government. Public service journalism has always been our goal, and last year - as measles outbreaks were popping up around the country for the first time in 25 years - we pushed the Connecticut Department of Public Health into releasing school-level vaccination data for the first time by highlighting the law preventing the data's release. The release of the data showed a shocking number of schools below the CDC's recommended immunization rate of 95%, and an increasing trend of parents using a religious exemption to avoid vaccinating their children despite the lack of any underlying health issue preventing them from being vaccinated. The legislature took notice and then took action, and began working toward a number of initiatives to improve vaccination rates. The series of news stories, which won both a LION Publishers award as well as the Public Service Journalism award from the Connecticut Society of Professional Journalists. More importantly, the coverage opened the conversation about personal responsibility within the context of public health and, almost as though it was foreshadowing the COVID-19 pandemic, the coverage positioned us as a go-to source of information for the arrival of a disease far more deadly than measles.","Introducing CTNewsJunkie.com, a Connecticut news site that understands the usual media offerings just aren’t enough. Updated daily, CTNewsJunkie features original reporting on state politics, public policy, the courts, and also a healthy focus on our struggling health care system.
Not mere observation. No half-cocked rants. And no regurgitated drivel already recorded in a million other outlets."
D9and10Sports.com,,https://d9and10sports.com/,,Yes,Warren,PA,"United States",English,,LLC,LLC,2020,3-5,71-80,0-10,0-10,0-10,"Originally-reported articles, Podcasts, Radio, Social media-only content, Video",,"Aggregation, Radio, Social media, Website",,"County/Counties/Regional districts","Breaking News, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Single-subject news",,"Sports & Recreation",,,,"Direct sold advertising",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Content Sponsorship, Display, Social Media, Video",,"We have helped get high school athletes named All-State because of the publicity they get. During the COVID-19 pandemic, our video and audio coverage of events has helped keep the communities connected with the teams and athletes
 ","We cover high school sports in NW/NC Pennsylvania all the way from Erie in the West down I-79 to Wilmington/Hickory then across I-80 to Clearfield (we do have schools south of I-80 including in Butler County, Clarion County and Jefferson County). One of the schools we cover is Punxsutawney, which is appropriately named the Chucks. Then north to the New York/PA border around Coudersport then back to Erie
 "
"Delaware Business Now",,https://delawarebusinessnow.com,"Doug Rainey, Sharon Rainey",Yes,Newark,DE,"United States",English,,LLC,LLC,2013,1,31-40,11-20,31-40,0-10,"Newsletters, Social media-only content, News aggregation",,"Website, Social media",,State/Province,"Single-subject news",,Business,,,,"Direct sold advertising, Programmatic advertising",,,"Direct sold advertising",,,,"Display, Content Sponsorship",,"We provide business news that readers can use to make better decisions in managing their enterprises.","Delaware Business Now is the state’s top independent business news website. The site went live in 2013 and continues to grow in page views and visitors.
Content is added daily to provide the most comprehensive business coverage in Delaware and adjacent areas."
"Durham Skywriter",,https://durhamskywriter.com,"Patricia A. Murray",Yes,Durham,NC,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2002,1,0-10,0-10,0-10,0-10,"Originally-reported articles, Video, Social media-only content",,"Website, Social media, Third party content platforms",,"City/Town, County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings",,"Education & Schools, Entertainment & Arts, Events in coverage area, Health & Medicine, Social Justice & Inequality",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,,,"I don’t sell any advertising products.",,"Our coverage increases attendance at meetings, workshops, and other community events; increases enrollment of students into specialty schools;  helps people sign up for programs and identify resources.",
